city,latitude,longitude
Warszawa,52.2297,21.0122
Łódź,51.7592,19.456
Kraków,50.0647,19.945
Wrocław,51.1079,17.0385
Poznań,52.4064,16.9252
Gdańsk,54.352,18.6466
Lublin,51.2465,22.5684
Szczecin,53.4285,14.5528
Bydgoszcz,53.1235,18.0084
Białystok,53.1325,23.1688
Katowice,50.2649,19.0238
Rzeszów,50.0412,21.9991
Gdynia,54.5189,18.5305
Radom,51.4027,21.1471
Kielce,50.8661,20.6286
Zamość,50.7231,23.2518
Legionowo,52.4041,20.9262
Sopot,54.4416,18.5601
Olsztyn,53.7784,20.4801
Opole,50.6751,17.9213
